gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstrand	fpkm_unstrand	fpkm_uq_unstrand
ENSG00000002933.9	TMEM176A	protein_coding	210	98	112	3.0135	1.0623	1.1951
ENSG00000003056.8	M6PR	protein_coding	3368	2241	2169	46.8752	16.5245	18.59
ENSG00000003096.14	KLHL13	protein_coding	380	201	179	2.7152	0.9572	1.0768
ENSG00000003137.8	CYP26B1	protein_coding	322	162	160	3.2036	1.1294	1.2705
ENSG00000003147.19	ICA1	protein_coding	1903	1247	1284	19.4452	6.8549	7.7117
ENSG00000003249.15	DBNDD1	protein_coding	4176	2164	2025	46.6972	16.4618	18.5194
ENSG00000003393.15	ALS2	protein_coding	1811	919	892	8.6569	3.0517	3.4332
ENSG00000003400.15	CASP10	protein_coding	1121	569	552	7.378	2.6009	2.926
ENSG00000003402.20	CFLAR	protein_coding	4691	2837	2660	10.4123	3.6706	4.1294
ENSG00000003436.16	TFPI	protein_coding	1261	681	641	5.3712	1.8935	2.1301
ENSG00000003509.16	NDUFAF7	protein_coding	1031	859	940	14.0899	4.967	5.5878
ENSG00000003756.17	RBM5	protein_coding	2121	1515	1488	10.218	3.6021	4.0523
ENSG00000003987.14	MTMR7	protein_coding	60	96	81	0.4321	0.1523	0.1714
ENSG00000003989.18	SLC7A2	protein_coding	72	27	45	0.4545	0.1602	0.1802
ENSG00000004059.11	ARF5	protein_coding	7103	3575	3590	194.1954	68.4582	77.0151
ENSG00000004139.14	SARM1	protein_coding	107	795	782	0.4808	0.1695	0.1907
ENSG00000004142.12	POLDIP2	protein_coding	6316	3593	3535	118.0296	41.6081	46.8088
ENSG00000004399.13	PLXND1	protein_coding	7282	3601	3681	38.018	13.4022	15.0774
ENSG00000004455.17	AK2	protein_coding	9385	4792	4686	48.6512	17.1506	19.2944
ENSG00000004468.13	CD38	protein_coding	15	7	8	0.1091	0.0385	0.0433
ENSG00000004478.8	FKBP4	protein_coding	12708	8312	8134	122.8104	43.2934	48.7048
ENSG00000004487.17	KDM1A	protein_coding	10923	5513	5411	100.1851	35.3175	39.7319
ENSG00000004534.15	RBM6	protein_coding	2432	1215	1218	16.6249	5.8607	6.5932
ENSG00000004660.15	CAMKK1	protein_coding	618	308	310	4.1484	1.4624	1.6452
ENSG00000004700.16	RECQL	protein_coding	1293	1354	1347	17.0719	6.0182	6.7705
ENSG00000004766.17	VPS50	protein_coding	1797	897	900	9.3798	3.3066	3.7199
ENSG00000004776.13	HSPB6	protein_coding	136	504	440	3.9361	1.3875	1.561
ENSG00000004777.18	ARHGAP33	protein_coding	902	499	464	8.5562	3.0163	3.3933
ENSG00000004779.10	NDUFAB1	protein_coding	2667	1257	1411	85.9631	30.3039	34.0917
ENSG00000004799.8	PDK4	protein_coding	2380	1141	1239	26.1336	9.2127	10.3642
ENSG00000004809.14	SLC22A16	protein_coding	9	4	5	0.1149	0.0405	0.0456
ENSG00000004838.14	ZMYND10	protein_coding	23	12	13	0.3972	0.14	0.1575
ENSG00000004846.16	ABCB5	protein_coding	4	1	3	0.0216	0.0076	0.0086
ENSG00000004848.8	ARX	protein_coding	0	0	0	0	0	0
ENSG00000004864.14	SLC25A13	protein_coding	4899	2403	2496	65.8861	23.2263	26.1295
ENSG00000004866.22	ST7	protein_coding	1293	739	730	9.8858	3.485	3.9206
ENSG00000004897.12	CDC27	protein_coding	3304	1758	1717	24.158	8.5162	9.5807
ENSG00000004939.15	SLC4A1	protein_coding	1	0	1	0.0097	0.0034	0.0039
ENSG00000004948.16	CALCR	protein_coding	2	1	2	0.0236	0.0083	0.0094
ENSG00000004961.15	HCCS	protein_coding	1624	816	808	34.5839	12.1916	13.7155
ENSG00000004975.12	DVL2	protein_coding	2505	1269	1238	23.4895	8.2806	9.3156
ENSG00000005001.10	PRSS22	protein_coding	2655	1381	1295	55.5672	19.5887	22.0371
ENSG00000005007.13	UPF1	protein_coding	6215	3121	3095	36.1717	12.7513	14.3452
ENSG00000005020.13	SKAP2	protein_coding	1748	848	900	16.2688	5.7351	6.452
ENSG00000005022.6	SLC25A5	protein_coding	21215	12171	12338	680.7266	239.9712	269.9663
ENSG00000005059.16	MCUB	protein_coding	832	426	418	11.6773	4.1165	4.6311
ENSG00000005073.6	HOXA11	protein_coding	42	18	31	0.7852	0.2768	0.3114
ENSG00000005075.15	POLR2J	protein_coding	2423	1211	1264	89.2225	31.4529	35.3843
ENSG00000005100.13	DHX33	protein_coding	1671	853	818	14.4023	5.0771	5.7118
ENSG00000005102.14	MEOX1	protein_coding	8	0	8	0.1493	0.0526	0.0592
ENSG00000005108.16	THSD7A	protein_coding	120	61	68	0.5483	0.1933	0.2174
ENSG00000005156.12	LIG3	protein_coding	3829	2403	2434	14.8089	5.2205	5.873
ENSG00000005175.10	RPAP3	protein_coding	1878	913	965	17.5147	6.1743	6.9461
ENSG00000005187.12	ACSM3	protein_coding	99	117	145	0.6577	0.2319	0.2609
ENSG00000005189.20	REXO5	protein_coding	279	157	135	3.3862	1.1937	1.3429
ENSG00000005194.15	CIAPIN1	protein_coding	2471	1231	1240	36.4444	12.8475	14.4533
ENSG00000005206.17	SPPL2B	protein_coding	1459	764	695	9.8123	3.459	3.8914
ENSG00000005243.10	COPZ2	protein_coding	1334	655	679	35.6701	12.5745	14.1462
ENSG00000005249.13	PRKAR2B	protein_coding	840	434	406	9.8339	3.4667	3.9
ENSG00000005302.19	MSL3	protein_coding	3120	1591	1529	15.9175	5.6113	6.3127
ENSG00000005339.15	CREBBP	protein_coding	4818	2400	2418	15.5304	5.4748	6.1591
ENSG00000005379.17	TSPOAP1	protein_coding	248	123	125	1.0865	0.383	0.4309
ENSG00000005381.8	MPO	protein_coding	4	2	2	0.0566	0.0199	0.0224
ENSG00000005421.9	PON1	protein_coding	29	13	16	0.5446	0.192	0.216
ENSG00000005436.14	GCFC2	protein_coding	1264	1017	1012	11.5466	4.0704	4.5792
ENSG00000005448.17	WDR54	protein_coding	395	195	206	6.9105	2.4361	2.7406
ENSG00000005469.12	CROT	protein_coding	609	297	312	6.0833	2.1445	2.4126
ENSG00000005471.19	ABCB4	protein_coding	65	36	29	0.4197	0.1479	0.1664
ENSG00000005483.21	KMT2E	protein_coding	4617	2447	2532	23.1548	8.1626	9.1828
ENSG00000005486.17	RHBDD2	protein_coding	5294	2612	2683	110.5213	38.9612	43.8312
ENSG00000005513.10	SOX8	protein_coding	141	78	63	1.5739	0.5548	0.6242
ENSG00000005700.15	IBTK	protein_coding	1766	890	876	10.1061	3.5626	4.0079
ENSG00000005801.18	ZNF195	protein_coding	1262	626	637	5.3768	1.8954	2.1324
ENSG00000005810.18	MYCBP2	protein_coding	2493	1585	1609	7.7806	2.7428	3.0857
ENSG00000005812.11	FBXL3	protein_coding	1424	1121	1197	10.0411	3.5397	3.9822
ENSG00000005844.19	ITGAL	protein_coding	145	81	85	0.7335	0.2586	0.2909
ENSG00000005882.12	PDK2	protein_coding	450	487	467	4.104	1.4467	1.6276
ENSG00000005884.18	ITGA3	protein_coding	2691	1351	1372	13.6981	4.8289	5.4325
ENSG00000005889.16	ZFX	protein_coding	2762	1357	1406	15.2496	5.3758	6.0478
ENSG00000005893.16	LAMP2	protein_coding	40391	20100	20293	214.3049	75.5472	84.9902
ENSG00000005961.19	ITGA2B	protein_coding	63	32	31	0.552	0.1946	0.2189
ENSG00000005981.13	ASB4	protein_coding	161	78	83	1.7441	0.6148	0.6917
ENSG00000006007.12	GDE1	protein_coding	2567	1604	1522	29.1757	10.2851	11.5707
ENSG00000006015.18	REX1BD	protein_coding	746	388	368	11.0418	3.8925	4.379
ENSG00000006016.11	CRLF1	protein_coding	1930	1146	1099	32.4564	11.4416	12.8717
ENSG00000006025.12	OSBPL7	protein_coding	212	124	88	1.6095	0.5674	0.6383
ENSG00000006042.12	TMEM98	protein_coding	1717	874	843	16.5164	5.8224	6.5501
ENSG00000006047.13	YBX2	protein_coding	797	429	370	8.587	3.0271	3.4055
ENSG00000006059.4	KRT33A	protein_coding	2	1	1	0.0766	0.027	0.0304
ENSG00000006062.17	MAP3K14	protein_coding	1811	1308	1282	15.9422	5.62	6.3225
ENSG00000006071.15	ABCC8	protein_coding	0	0	0	0	0	0
ENSG00000006116.4	CACNG3	protein_coding	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	protein_coding	7954	4336	4156	54.5597	19.2335	21.6376
ENSG00000006125.18	AP2B1	protein_coding	15277	7446	7848	100.4151	35.3986	39.8232
ENSG00000006128.12	TAC1	protein_coding	2	1	1	0.0583	0.0205	0.0231
ENSG00000006194.10	ZNF263	protein_coding	1612	1127	1170	12.5615	4.4282	4.9817
ENSG00000006210.7	CX3CL1	protein_coding	5366	2678	2689	44.9226	15.8362	17.8156
ENSG00000006282.21	SPATA20	protein_coding	1316	672	644	12.3032	4.3372	4.8793
ENSG00000006283.18	CACNA1G	protein_coding	12	12	6	0.0595	0.021	0.0236
ENSG00000006327.14	TNFRSF12A	protein_coding	19710	9844	9924	546.0507	192.495	216.5558
ENSG00000006377.11	DLX6	protein_coding	306	157	162	4.4319	1.5624	1.7576
ENSG00000006432.15	MAP3K9	protein_coding	1789	904	885	7.2067	2.5405	2.8581
ENSG00000006451.8	RALA	protein_coding	8666	4285	4382	120.8139	42.5896	47.9131
ENSG00000006453.14	BAIAP2L1	protein_coding	4811	3501	3277	49.7919	17.5527	19.7467
ENSG00000006459.11	KDM7A	protein_coding	5387	2693	2694	28.6614	10.1038	11.3667
ENSG00000006468.14	ETV1	protein_coding	513	275	238	2.6621	0.9385	1.0558
ENSG00000006530.18	AGK	protein_coding	2204	1380	1295	10.2804	3.6241	4.0771
ENSG00000006534.16	ALDH3B1	protein_coding	470	231	240	3.5392	1.2477	1.4036
ENSG00000006555.11	TTC22	protein_coding	859	425	434	7.0136	2.4724	2.7815
ENSG00000006576.16	PHTF2	protein_coding	2280	1151	1129	13.1577	4.6384	5.2181
ENSG00000006606.9	CCL26	protein_coding	30	17	13	2.1292	0.7506	0.8444
ENSG00000006607.14	FARP2	protein_coding	2802	1529	1458	9.7284	3.4295	3.8581
ENSG00000006611.17	USH1C	protein_coding	279	147	132	2.8387	1.0007	1.1258
ENSG00000006625.18	GGCT	protein_coding	3378	1683	1695	105.7381	37.275	41.9342
ENSG00000006634.8	DBF4	protein_coding	1333	704	657	14.4745	5.1026	5.7404
ENSG00000006638.13	TBXA2R	protein_coding	206	95	111	3.6358	1.2817	1.4419
ENSG00000006652.15	IFRD1	protein_coding	920	442	478	5.8091	2.0478	2.3038
ENSG00000006659.13	LGALS14	protein_coding	0	0	0	0	0	0
ENSG00000006695.12	COX10	protein_coding	891	441	450	6.5803	2.3197	2.6097
ENSG00000006704.11	GTF2IRD1	protein_coding	3126	1513	1615	23.9995	8.4604	9.5179
ENSG00000006712.15	PAF1	protein_coding	5275	2785	2798	92.3502	32.5555	36.6247
ENSG00000006715.16	VPS41	protein_coding	3375	1659	1717	21.723	7.6578	8.615
ENSG00000006740.17	ARHGAP44	protein_coding	323	220	219	1.7288	0.6095	0.6856
ENSG00000006744.19	ELAC2	protein_coding	4737	2398	2354	33.7552	11.8995	13.3868
ENSG00000006747.15	SCIN	protein_coding	308	149	165	1.3218	0.466	0.5242
ENSG00000006756.16	ARSD	protein_coding	2383	1642	1566	16.9229	5.9657	6.7114
ENSG00000006757.12	PNPLA4	protein_coding	757	354	403	11.0732	3.9036	4.3915
ENSG00000006788.14	MYH13	protein_coding	33	24	32	0.269	0.0948	0.1067
ENSG00000006831.10	ADIPOR2	protein_coding	5517	2796	2721	47.2085	16.642	18.7222
ENSG00000006837.12	CDKL3	protein_coding	20	9	11	0.3169	0.1117	0.1257
ENSG00000007001.13	UPP2	protein_coding	7	4	3	0.1181	0.0416	0.0468
ENSG00000007038.11	PRSS21	protein_coding	1	0	1	0.0254	0.0089	0.0101
ENSG00000007047.15	MARK4	protein_coding	5890	2963	2927	44.1532	15.565	17.5105
ENSG00000007062.12	PROM1	protein_coding	12449	6319	6130	83.2972	29.3641	33.0345
ENSG00000007080.11	CCDC124	protein_coding	3099	1584	1515	93.0919	32.817	36.9189
ENSG00000007129.18	CEACAM21	protein_coding	41	17	24	1.0348	0.3648	0.4104
ENSG00000007168.14	PAFAH1B1	protein_coding	7257	4030	4164	26.2937	9.2691	10.4277
ENSG00000007171.18	NOS2	protein_coding	245	130	115	2.7789	0.9796	1.1021
ENSG00000007174.18	DNAH9	protein_coding	4	3	1	0.0118	0.0042	0.0047
ENSG00000007216.15	SLC13A2	protein_coding	4	2	2	0.0619	0.0218	0.0245
ENSG00000007237.19	GAS7	protein_coding	991	505	486	4.8677	1.716	1.9305
ENSG00000007255.10	TRAPPC6A	protein_coding	1910	946	965	102.1437	36.0079	40.5087
ENSG00000007264.15	MATK	protein_coding	587	300	287	7.078	2.4951	2.807
ENSG00000007306.15	CEACAM7	protein_coding	0	0	0	0	0	0
ENSG00000007312.13	CD79B	protein_coding	22	11	11	0.5323	0.1877	0.2111
ENSG00000007314.12	SCN4A	protein_coding	12	7	6	0.0726	0.0256	0.0288
ENSG00000007341.19	ST7L	protein_coding	308	281	253	1.8954	0.6682	0.7517
ENSG00000007350.17	TKTL1	protein_coding	1	1	1	0.0142	0.005	0.0056
ENSG00000007372.24	PAX6	protein_coding	21	46	31	0.0508	0.0179	0.0201
ENSG00000007376.8	RPUSD1	protein_coding	1255	645	629	22.6142	7.972	8.9685
ENSG00000007384.15	RHBDF1	protein_coding	1846	935	911	18.7438	6.6076	7.4335
ENSG00000007392.17	LUC7L	protein_coding	860	462	398	6.9479	2.4493	2.7554
ENSG00000007402.12	CACNA2D2	protein_coding	112	94	84	0.8587	0.3027	0.3405
ENSG00000007516.14	BAIAP3	protein_coding	138	358	337	1.1271	0.3973	0.447
ENSG00000007520.4	TSR3	protein_coding	1281	892	947	52.8231	18.6213	20.9489
ENSG00000007541.17	PIGQ	protein_coding	1444	737	707	9.1712	3.233	3.6372
ENSG00000007545.16	CRAMP1	protein_coding	890	473	434	5.166	1.8211	2.0488
ENSG00000007866.22	TEAD3	protein_coding	3220	1679	1542	52.6937	18.5757	20.8975
ENSG00000007908.16	SELE	protein_coding	44	26	18	0.4787	0.1688	0.1899
ENSG00000007923.16	DNAJC11	protein_coding	2136	1877	1823	20.9672	7.3914	8.3153
ENSG00000007933.13	FMO3	protein_coding	68	32	36	0.9866	0.3478	0.3913
ENSG00000007944.15	MYLIP	protein_coding	1344	662	682	21.8292	7.6953	8.6571
ENSG00000007952.18	NOX1	protein_coding	46	26	20	0.9026	0.3182	0.3579
ENSG00000007968.7	E2F2	protein_coding	1140	541	599	10.4139	3.6711	4.13
ENSG00000008018.9	PSMB1	protein_coding	6483	3292	3192	145.7736	51.3884	57.8117
ENSG00000008056.14	SYN1	protein_coding	70	63	53	0.9356	0.3298	0.3711
ENSG00000008083.14	JARID2	protein_coding	3655	1792	1863	29.2068	10.2961	11.583
ENSG00000008086.13	CDKL5	protein_coding	1915	976	950	5.0141	1.7676	1.9885
ENSG00000008118.10	CAMK1G	protein_coding	50	23	27	0.7496	0.2643	0.2973
ENSG00000008128.23	CDK11A	protein_coding	29	13	16	0.2846	0.1003	0.1129
ENSG00000008130.15	NADK	protein_coding	2528	1244	1285	22.6455	7.983	8.9809
ENSG00000008196.13	TFAP2B	protein_coding	24	13	11	0.1946	0.0686	0.0772
ENSG00000008197.5	TFAP2D	protein_coding	0	0	0	0	0	0
ENSG00000008226.20	DLEC1	protein_coding	21	756	783	0.1257	0.0443	0.0498
ENSG00000008256.16	CYTH3	protein_coding	2989	1498	1491	25.6779	9.052	10.1835
ENSG00000008277.14	ADAM22	protein_coding	55	28	27	0.225	0.0793	0.0892
ENSG00000008282.9	SYPL1	protein_coding	8012	4076	3936	143.6441	50.6377	56.9672
ENSG00000008283.16	CYB561	protein_coding	13812	6837	6977	130.1274	45.8728	51.6066
ENSG00000008294.21	SPAG9	protein_coding	4885	2538	2347	20.3693	7.1806	8.0782
ENSG00000008300.17	CELSR3	protein_coding	319	177	142	1.1492	0.4051	0.4558
ENSG00000008311.15	AASS	protein_coding	181	97	84	1.3552	0.4777	0.5375
ENSG00000008323.15	PLEKHG6	protein_coding	2901	1453	1448	33.978	11.978	13.4752
ENSG00000008324.12	SS18L2	protein_coding	873	452	480	13.9701	4.9248	5.5403
ENSG00000008382.16	MPND	protein_coding	432	433	430	10.5197	3.7084	4.1719
ENSG00000008394.13	MGST1	protein_coding	8750	4386	4364	58.6728	20.6835	23.2688
ENSG00000008405.12	CRY1	protein_coding	1149	573	607	11.9887	4.2263	4.7545
ENSG00000008438.5	PGLYRP1	protein_coding	1	0	1	0.0705	0.0248	0.0279
ENSG00000008441.18	NFIX	protein_coding	8393	4208	4187	65.0772	22.9412	25.8087
ENSG00000008513.16	ST3GAL1	protein_coding	12534	6465	6071	70.6494	24.9055	28.0185
ENSG00000008516.17	MMP25	protein_coding	156	162	121	1.8332	0.6462	0.727
ENSG00000008517.18	IL32	protein_coding	15131	7729	7403	235.2653	82.9363	93.3028
ENSG00000008710.20	PKD1	protein_coding	2031	1390	1361	5.4677	1.9275	2.1684
ENSG00000008735.14	MAPK8IP2	protein_coding	8178	4246	3934	70.4375	24.8308	27.9345
ENSG00000008838.20	MED24	protein_coding	5116	2586	2531	36.6654	12.9254	14.541
ENSG00000008853.17	RHOBTB2	protein_coding	435	418	400	3.2831	1.1574	1.302
ENSG00000008869.12	HEATR5B	protein_coding	2646	1289	1357	16.0261	5.6496	6.3557
ENSG00000008952.17	SEC62	protein_coding	6128	3118	3013	38.5669	13.5957	15.2951
ENSG00000008988.11	RPS20	protein_coding	45635	23507	22128	336.5815	118.6525	133.4834
ENSG00000009307.16	CSDE1	protein_coding	52743	26551	26192	455.457	160.5587	180.6276
ENSG00000009335.18	UBE3C	protein_coding	13346	6608	6738	72.263	25.4743	28.6584
ENSG00000009413.16	REV3L	protein_coding	653	413	372	2.6223	0.9244	1.04
ENSG00000009694.13	TENM1	protein_coding	31	18	14	0.1199	0.0423	0.0476
ENSG00000009709.12	PAX7	protein_coding	1	0	1	0.0077	0.0027	0.0031
ENSG00000009724.17	MASP2	protein_coding	7	6	12	0.082	0.0289	0.0325
ENSG00000009765.15	IYD	protein_coding	7	2	5	0.0337	0.0119	0.0134
ENSG00000009780.16	FAM76A	protein_coding	984	515	470	12.1347	4.2778	4.8124
ENSG00000009790.15	TRAF3IP3	protein_coding	71	147	137	0.4571	0.1611	0.1813
ENSG00000009830.12	POMT2	protein_coding	1132	534	598	5.6442	1.9897	2.2384
ENSG00000009844.16	VTA1	protein_coding	2273	1106	1167	15.6258	5.5084	6.197
ENSG00000009950.16	MLXIPL	protein_coding	57	28	29	0.5907	0.2082	0.2342
ENSG00000009954.11	BAZ1B	protein_coding	12240	6082	6158	86.5041	30.4946	34.3063
ENSG00000010017.13	RANBP9	protein_coding	2399	1613	1648	33.0843	11.6629	13.1207
ENSG00000010030.14	ETV7	protein_coding	370	175	196	7.7764	2.7414	3.084
ENSG00000010072.16	SPRTN	protein_coding	660	376	356	5.5758	1.9656	2.2113
ENSG00000010219.13	DYRK4	protein_coding	645	332	313	4.5623	1.6083	1.8093
ENSG00000010244.19	ZNF207	protein_coding	6426	3194	3233	20.2698	7.1456	8.0387
ENSG00000010256.11	UQCRC1	protein_coding	14331	7152	7180	223.1742	78.6739	88.5077
ENSG00000010270.14	STARD3NL	protein_coding	1998	969	1029	23.0553	8.1275	9.1434
ENSG00000010278.15	CD9	protein_coding	20068	10179	9891	171.779	60.5559	68.1251
ENSG00000010282.15	HHATL	protein_coding	2	2	0	0.0346	0.0122	0.0137
ENSG00000010292.13	NCAPD2	protein_coding	8144	4151	4305	62.8049	22.1401	24.9075
ENSG00000010295.20	IFFO1	protein_coding	435	217	220	4.3892	1.5473	1.7407
ENSG00000010310.9	GIPR	protein_coding	33	19	15	0.3248	0.1145	0.1288
ENSG00000010318.21	PHF7	protein_coding	114	52	62	1.6909	0.5961	0.6706
ENSG00000010319.7	SEMA3G	protein_coding	261	122	140	2.5803	0.9096	1.0233
ENSG00000010322.16	NISCH	protein_coding	3369	1758	1611	18.5497	6.5392	7.3565
ENSG00000010327.10	STAB1	protein_coding	1078	1073	1010	5.08	1.7908	2.0147
ENSG00000010361.14	FUZ	protein_coding	124	747	767	2.0952	0.7386	0.8309
ENSG00000010379.16	SLC6A13	protein_coding	0	0	0	0	0	0
ENSG00000010404.18	IDS	protein_coding	346	199	147	1.8575	0.6548	0.7367
ENSG00000010438.17	PRSS3	protein_coding	275	198	216	9.6289	3.3944	3.8187
ENSG00000010539.12	ZNF200	protein_coding	571	311	309	3.7997	1.3395	1.5069
ENSG00000010610.10	CD4	protein_coding	752	373	380	8.2338	2.9026	3.2654
ENSG00000010626.15	LRRC23	protein_coding	413	204	209	6.7519	2.3802	2.6777
ENSG00000010671.16	BTK	protein_coding	96	54	42	1.047	0.3691	0.4152
ENSG00000010704.18	HFE	protein_coding	506	256	252	4.4488	1.5683	1.7643
ENSG00000010803.16	SCMH1	protein_coding	3837	2267	2156	43.0511	15.1765	17.0735
ENSG00000010810.17	FYN	protein_coding	1890	937	953	12.7246	4.4857	5.0464
ENSG00000010818.10	HIVEP2	protein_coding	2166	1152	1170	10.143	3.5756	4.0226
ENSG00000010932.17	FMO1	protein_coding	61	35	27	0.845	0.2979	0.3351
ENSG00000011007.12	ELOA	protein_coding	4111	2399	2392	38.0486	13.413	15.0895
ENSG00000011009.11	LYPLA2	protein_coding	5839	3017	2824	144.1558	50.8181	57.1701
ENSG00000011021.23	CLCN6	protein_coding	299	162	146	1.8254	0.6435	0.7239
ENSG00000011028.14	MRC2	protein_coding	13933	7809	7765	105.4759	37.1826	41.8302
ENSG00000011052.21	NME1-NME2	protein_coding	0	0	0	0	0	0
ENSG00000011083.9	SLC6A7	protein_coding	4	4	3	0.0467	0.0165	0.0185
ENSG00000011105.14	TSPAN9	protein_coding	3117	1572	1545	22.5234	7.94	8.9324
ENSG00000011114.15	BTBD7	protein_coding	1379	672	707	6.0713	2.1403	2.4078
ENSG00000011132.12	APBA3	protein_coding	873	448	507	7.7839	2.744	3.087
ENSG00000011143.19	MKS1	protein_coding	465	267	263	2.0559	0.7248	0.8154
ENSG00000011198.10	ABHD5	protein_coding	1868	919	953	12.363	4.3582	4.903
ENSG00000011201.12	ANOS1	protein_coding	390	190	200	2.7477	0.9686	1.0897
ENSG00000011243.18	AKAP8L	protein_coding	1154	956	1014	11.3367	3.9964	4.496
ENSG00000011258.16	MBTD1	protein_coding	1122	578	544	7.7927	2.7471	3.0905
ENSG00000011260.14	UTP18	protein_coding	2543	1275	1268	46.9419	16.5481	18.6165
ENSG00000011275.19	RNF216	protein_coding	5688	2834	2857	37.461	13.2058	14.8565
ENSG00000011295.16	TTC19	protein_coding	1538	783	768	12.6758	4.4685	5.027
ENSG00000011304.22	PTBP1	protein_coding	16613	8342	8273	110.2129	38.8525	43.7088
ENSG00000011332.19	DPF1	protein_coding	38	24	18	0.395	0.1392	0.1567
ENSG00000011347.10	SYT7	protein_coding	7747	3942	3807	51.1837	18.0434	20.2987
ENSG00000011376.12	LARS2	protein_coding	1557	801	757	6.2616	2.2073	2.4832
ENSG00000011405.13	PIK3C2A	protein_coding	2817	1397	1420	15.2711	5.3834	6.0563
ENSG00000011422.12	PLAUR	protein_coding	6343	3117	3226	71.0088	25.0322	28.1611
ENSG00000011426.11	ANLN	protein_coding	10544	5596	5337	87.7266	30.9256	34.7911
ENSG00000011451.21	WIZ	protein_coding	3422	1723	1701	17.0112	5.9968	6.7464
ENSG00000011454.18	RABGAP1	protein_coding	3945	1929	2018	25.7102	9.0634	10.1963
ENSG00000011465.18	DCN	protein_coding	13548	6865	6683	52.2357	18.4142	20.7159
ENSG00000011478.13	QPCTL	protein_coding	2360	1214	1149	41.6825	14.694	16.5307
ENSG00000011485.15	PPP5C	protein_coding	5248	2796	2884	36.9376	13.0213	14.6489
ENSG00000011523.14	CEP68	protein_coding	1115	624	694	6.4517	2.2744	2.5587
ENSG00000011566.15	MAP4K3	protein_coding	2488	1258	1232	20.4986	7.2262	8.1295
ENSG00000011590.14	ZBTB32	protein_coding	53	24	29	0.9655	0.3404	0.3829
ENSG00000011600.12	TYROBP	protein_coding	662	335	328	36.4176	12.838	14.4427
ENSG00000011677.13	GABRA3	protein_coding	100	44	56	1.2023	0.4238	0.4768
ENSG00000012048.23	BRCA1	protein_coding	958	471	487	5.1364	1.8107	2.037
ENSG00000012061.16	ERCC1	protein_coding	8836	7415	7313	79.0808	27.8777	31.3623
ENSG00000012124.17	CD22	protein_coding	44	20	24	0.3561	0.1255	0.1412
ENSG00000012171.20	SEMA3B	protein_coding	125	57	68	1.0813	0.3812	0.4288
ENSG00000012174.12	MBTPS2	protein_coding	1850	923	927	10.3193	3.6378	4.0925
ENSG00000012211.13	PRICKLE3	protein_coding	895	2679	2564	12.2145	4.3059	4.8441
ENSG00000012223.13	LTF	protein_coding	262	135	127	3.2772	1.1553	1.2997
